"","text"
"234","trims lazada  reseller  barang sdh  terima senin siang giriman sesuai  yg  informasikan"
"235","sesuai syg   jd oke "
"236","barangnya bagus  raidak mengecewakan   tetaagus   bonus h nya  hehhe"
"237","barang udah samunn  segell  iknya mangstabb"
"238","barang tlah diterima kondisi "
"239","null"
"240","mantap"
"241","null"
"242","null"
"243","null"
"244","null"
"245","barang sesuai deskrienjual ramahresce"
"246","packaging ralashdiksnya ori katasnya sesuai  detail uk  dicantumkan  foto  barangnya sesuai  barangnya  sesuai tewaktu makasih ya "
"247","flashdisknya  diterima   katas total  bytes  fat   bytes  diformat  exfat write s mbs  read  mbs   usb   dicoba   usb "
"248","terima kasih barang bagus  resual sgt "
"249","barang  diterima dgn  packing ra tinya  gb selebihnya oke"
"250","cocok    bgus sesuai deskri"
"251","null"
"252","null"
"253","null"
"254","null"
"255","null"
"256","null"
"257","null"
"258","null"
"259","puas"
"260","null"
"261","flashdisk gb casing metal baguss"
"262","null"
"263","null"
"264","sesuai deskripsi"
"265","barang dah sammakasih"
"266","mantarang gak minus  "
"267","iriman ceing cukugus"
"268","biarkan bintang  berbicara  "
"269","barangnya ok cesampai"
"270","pengirimannya ceuk "
"271","barang  sesuai  deskridan berfungsi "
"272","samcebarang sesuai"
"273","dikirim    barang mulus"
"274","null"
"275","null"
"276","null"
"277","null"
"278","null"
"279","null"
"280","null"
"281","null"
"282","null"
"283","null"
"284","null"
"285","oke"
"286","null"
"287",""
"288","null"
"289","null"
"290","null"
"291","ram gb  gb"
"292","tv led  han inyang lengkadmi dv vga  beli  keuan kantor  gunaannya  multisource panasonic satusatunya merk  menyediakan fasilitas  seang etahuan  kualitas gambar  bagus  bezel tiyang  kesan lega  extra bracket memudahkan sangan  dinding bravo panasonic"
"293","null"
"294"," butuh   jam unit  thks"
"295"," cicilan gmn "
"296","nyicil   mudah esnya susah nggak"
"297","pokonya "
"298","puas bgt iriman sesuai jadwal barang bagus ing rabuat maen game enak bgt hihii murah  tenkyu lazada"
"299"," igin n taackingnya kalo   radan aman  barang terlindungi    bintang   kalo barangnya udah diterima  bagis   bintang"
"300","null"
"301","   uk  genuine  hologramnya    kartu garansinya  adahanya keterangan   dusnya  barang  original resmi indonesia bergaransi   nomor telservice centernya memory  tersedia    sam tb teta tb  selisih  tb  banget selisihnyatidak   teri  sistemnya sambegitu banyaktaidak    eksternal hardisk   bagus cedan  hadiah hardcase cukugus   melindungi barang    debu  benturan sayangnya   registrasi  official webnya wd  identification numbernya  dikenaltidak validalias barang   aslialias kw seller resif sayangnya  memberitahu asli tidaknya barang  pengiriman terhitung cedalam   barang   tangan mudahan  barang  awet wslautdk original"
"302","barang bagus ng ra gua rekomendasikan banget  klo barangnyacma sayang iriman  kaya amjne diosana  barang gua ga ga muncul   kom dlu cs ny kali  ngerti mending  iriman  deh lbi bgus"
"303","mantab s konsisten total size asli gb     normal  nice job seller n lazada "
"304","barang  terimak lazada bilang sidah diterima cek  jne lhoksukon aceh utara barang  adaada  gasnya tdk ramah  tdk  solusk  yg  email  cs jne  cs lazada tdk  rea  nasih barang  harga  jt an"
"305","smuanya mntap"
"306","iriman cehr  kirin lusa udh terima ing raake bubble jg kwalitas uct oke tq"
"307","null"
"308"," rekomendasikan beli "
"309","null"
"310"," sami"
"311","warna sesuai nan sis ok dah"
"312","thanks rescehdd ext tb samsesuai nan"
"313","original packing rapi"
"314","barang good condition and delivery ok"
"315","null"
"316","null"
"317","null"
"318","null"
"319","mantap"
"320","null"
"321","null"
"322","null"
"323","null"
"324","null"
"325","null"
"326","null"
"327","barang oke"
"328","null"
"329","null"
"330","null"
"331","null"
"332","null"
"333","null"
"334","null"
"335","null"
"336","null"
"337","null"
"338","null"
"339","null"
"340","null"
"341","foto uk sesuai  asli warna birunya bagus  n  bayar uk   tanggal  oktober   uk    tanggal  oktober   kondisi   berfungsi  macbook pro  meskisaya  format   mendabonus t  external hdd   mudahmudahan uk  awet terima kasih lazada"
"342","packing raan iriman tewaktu   berfungsi   haraya semoga awet ni barang"
"343","barangnya bagus kecilcomdan ing "
"344","good product with reasonable price"
"345","null"
"346","null"
"347","null"
"348","null"
"349","null"
"350","null"
"351","null"
"352","null"
"353","null"
"354","null"
"355","null"
"356","null"
"357","null"
"358","null"
"359","null"
"360","null"
"361","null"
"362","null"
"363","null"
"364","packing raualitas oke fitur is sei deskridesain keren  yg    segi kecen transfer  mentok   mbs"
"365","gmn nih lazada  liat iklannya flashdisk tag dikirim koq  flashdrivemohon elasannyabarang sdh  bukasaya br x  kecewa"
"366","smua   ulasan bener smua areka  katas terbaca gb  teri sistem iriman  cedari extimasi"
"367","barang sdh diterima irimannya cedata yg terbaca gb iya  s gb tdk terbaca gb full terima kasih  fast resya n barangnya ori"
"368","pengiriman ce  taranfer failnya lemot"
"369","flashdisknya bagus taatoh  teman  rusak  mengeluarkan nya"
"370","cesambarang asli bagus  thanks lazada"
"371","barang cepat    garansi resmi mantabb"
"372","cesam  udah sambarang bagus gk ces     knya mantab"
"373","bagus packing ramodelnya  suka thanks lazada"
"374","barang bagus ahankan"
"375","barangnya   terima  kondisi    trimakasih lazada"
"376","produk oke  original by datascriayang katas bersihnya gb"
"377","iriman cebarang bagus transfer data  cedari tiruzer switch"
"378","uk mantasuai deskripsi"
"379","null"
"380","null"
"381","null"
"382","null"
"383","null"
"384","null"
"385","null"
"386","null"
"387","null"
"388","null"
"389","good"
"390",NA
"391",NA
"392",NA
"393","uk sesuai iriman cepat"
"394","produk bagus"
"395","barang  bagus trimakasih"
"396","barang yg dikirim  sei   gambar"
"397","barang yg samruzer yg   sesuai  gambar taizenya gb"
"398","cukugus"
"399","null"
"400","null"
"401","knrosesnya  aagal  sya  n "
"402","barang  ko gaada ya   ngasih alamatnya bener   cek  situs jnenya alamat tujuannya  salah mohon diksa   beli barang bebarengan    yg  udh samtaeli   gaada barangnya samsekarang"
"403","kecewa alias barang asya lumayan  isi mih  lagunya"
"404","flashdisk gb tsi cm gbgk bs dii"
"405","  berfungsi menyimdata"
"406","barang  ah samyg hitamyg h ga  "
"407","pengiriman  warna  dateng h  hitam"
"408","null"
"409","null"
"410","krn pesanan tdk sesuai  kirimannya dr warna   pesan hitam dikirm putih    dipakai  labtop anak    tidah   yah"
"411",NA
"412","flashdisk  dicoile yg kebaca  doang  ud  beli   tertiantes g garansi hati hati  yg  beli"
"413"," barang     kota  minggubkemudian  cek barang   muncul anyaan   ungkusnya  tulisannya toshiba katas  gb   flashdisk  tertulis  gb  dicoba  koile    failed   berhasil dikoernyata   dadibuka seinya   uk gagal buatan oem   asalasalan  dijual murah  k toko terlanjur membeli     berusaha menjual   "
"414","rusak gk  dii  kapok"
"415","ga  dii"
"416","barangnya  "
"417","null"
"418","null"
"419","null"
"420","uk    dihara  kecewa"
"421","null"
"422","null"
"423"," danya warna biru"
"424","null"
"425","barang diterima ceseller n lazada yanan bagus kemasan raasih tik tebal  good tvnya cakesuai gambar n sya dis cuku sesuai semada baut casing ledikencangkan    recomended   nyari "
"426","null"
"427"," tv jg bs  monitor an"
"428"," kredit bang"
"429","  order besok langsung  fast respon fast seller"
"430","biar bintang  berbicara"
"431","bagus barangnya"
"432","mantab reseller nya pengiriman cedan ngan ok thanks reseller  lazada sukses   reseller  lazada"
"433","null"
"434","null"
"435","ing  barangnya ok  bonus h ukurannya    temhardisk nya"
"436","null"
"437","null"
"438","null"
"439","null"
"440","pengiriman ce kualitas gambar bagus  kualitas suaranya oke dvb t berfungsi   remote  yg error tombol source  fungsi jd   ganti  usb hdmi   mesti et tombol fisik  tvnya   ganti  seller  disuruh contact aquanya  aqua  remote rusak   beli   ganti  tokonya ribet deh "
"441",NA
"442"," layar sentuh  yah"
"443"," n uang sdah d transfer taarng tdk "
"444","  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"445","  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"446","hi sistgan stocknya  ready informasi produk  silahkan chat add whatsa  resceaman  teraya  pengiriman via  jne  tiki seller resmi lazada terima kasih"
"447"," info  nggan setia   karenakan lazada slow resceaman  terayakami buka orderan sanan beli  garatis   via whatsaa"
"448","  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"449","  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"450","  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"451","  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"452","  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"453","klu cicilan gmn cranya yah"
"454","  sumba timurwainga"
"455"," kredit nya "
"456","  cicil gak"
"457","la nya bagus"
"458","null"
"459","   kurangi ya biar  "
"460"," beranci ya layarnya"
"461"," bayar  temaidak"
"462","bayar ditem"
"463"," gmn ya"
"464","rizi"
"465","null"
"466","ditulis khusus jabodetabektrsedia diwilyah lam dibeli tcancel krn diluar daerah klo gk   dtulis tdk tersedia diwilanda"
"467","gmana  klw   kredit  lazada"
"468"," kiri  kota blitar "
"469","klwdi kirim k karawang  gak"
"470","gambarnya  keliatan"
"471","null"
"472","null"
"473","terimakasih barang nya memuaskan semoga awet "
"474","null"
"475","null"
"476","null"
"477","mantuulll"
"478","null"
"479","null"
"480","makasih gantaroduk nya  mesen  gb dateng nya mlh  gbmungkin slh masukin uk"
"481","null"
"482","alhamdulillah wlau irimannya   hmlmtemuanya ok"
"483","barangnya bagussuara  gambar jernih mudah mudahan awetenya ratang tewaktukurirnya  ramahmakasih lazadd"
"484","barang cukumuaskan seller resifing aman   kayu yah tengirimannya    tts ok  ing barang  "
"485","packing radan aman banget barangnya iriman cehari  order besok langsung dateng pokonya seller recommended  segi harga  bersaing    d"
"486","tv nya   alhamdulillah amin"
"487","uknya sesuai dgn gambar  bgt"
"488","null"
"489","null"
"490","tva bagus bngt layara jga jernih bngt"
"491","null"
"492","null"
"493","null"
"494"," samauknya bagus n berkualitas"
"495","null"
"496","null"
"497","null"
"498","null"
"499","good job"
"500","null"
"501","null"
"502","bgs"
"503","null"
"504","null"
"505","siip"
"506","null"
"507","null"
"508","  banget  layanan  lazada pengirimannya ce barangnya  gak lecet   terimakasih lazada"
"509","min ram nya emang segitu"
"510","barang asli  sesuai"
"511","biar bintang  berbicara"
"512","null"
"513","wd my pass tb harga ng murah dibanding temlain  cek online  offline barang bagus   cek total katas tb original  diregister  web wd nya  garansi  thn  beberaoftware utility free  wd security  ect hd  tdk  dibuka orang    bonus h lumayan  temhd nya "
"514","null"
"515","order mi notebook air gold  inch samsesuai hara barangnya asli agingnya aman bagus sellernya informatif cedikirimnya   ready terinstall  windows  english version terima kasih  seller "
"516","pengiriman barang   ce   barang  diterima    packing radan  dicek la  sesuai hara terima kasih  layanannya   "
"517","pengirimannya benarbenar tockingnya raan aman barangnya okewindowsnya udah i win  english version "
"518"," keren  iraan  windows   dikonfersi  bahasa inggris mantab"
"519","null"
"520","null"
"521","gan  gak dadi kirm  nad disitu tertulis barang   dadi kirim  lokasi "
"522","mbak mas kabari ya barang  udah ready stok  rencana  order mkasih"
"523","pelayanannya "
"524","null"
"525","null"
"526","pengiriman cebarang  terima    lengkangsung coba dabonus usb led dll recommended seller"
"527","barang bagus awet samsekarang"
"528","sangan anti virus  k wd  online dibantu memasang  mantaazadateraya"
"529","pengiriman cmproduk bagus sesuai gambar trims"
"530","null"
"531","null"
"532","  antivirusnya  kasetnya eh   dikasih nomor serial disuruh download  overall bagus  iriman cecuma   "
"533","hrg bersaing bagus"
"534","bagus koq cm gak  antivirusnya aja ribet sih d"
"535","null"
"536","null"
"537","null"
"538","ntaps"
"539","barang  diterima  iriman lumayan cetada   yg  ual atikan   etalase tv dijual  bonus free braket taang   tv nya doang braketnya ga   ongkir tercantum r  kirim sesuai yg tercantum ts  cek  resi  tercantum  ekssi cobra ternyara   tetensumen  dirugikan toko   catatan   kecuali menylesaikannya"
"540","tv nya udh seminggu blm samjuga seinya  meningkatkan iriman nya  diatikan su samsesuai estimasi thanks"
"541","  nonton dengar music liat  via usb gk"
"542",NA
"543","sesuai nan  bagus  thanks gan"
"544","produk dgn nan no   diterima"
"545","null"
"546","null"
"547","ok sesuai sm deksripsi"
"548","alhamdulillah barang samdengan aman karna ng  bagus semoga barang awet  amanah  lancar rejekinya amiin "
"549","sesuai  nan semoga awet ya"
"550","null"
"551","kualitas ori katas sesuao  dekriya"
"552","barang bagus  harga ok"
"553","null"
"554","barang bagus  berfungsi"
"555","virus shortcut"
"556","ing ok barang sesuai deskri"
"557","barangnya   selamat  ce taemasan otg nya nggak memuaskan"
"558","sii nya thanks lazada"
"559","mudah n awet barang nyaada hologram nya"
"560","null"
"561","null"
"562","suka bgt barangx mulus lus lus and berfungsi dgan  thanks lazada"
"563","barang samesuai   nya ingan raterima kasih lazada"
"564","null"
"565","null"
"566","null"
"567","null"
"568","null"
"569","null"
"570","null"
"571","null"
"572","null"
"573","null"
"574","null"
"575","null"
"576","mudahn awet amin"
"577","warna  sesuai"
"578","null"
"579","null"
"580","null"
"581","null"
"582","null"
"583","eliminasi   ing raaarna gak sesuai   ingini taarang normal work"
"584","null"
"585","null"
"586","product oke sesuai destkridatas back jgarecomend sellergood dah ya"
"587","la nya dikirim  todal kaciwa"
"588","sesuai    kebutuhan"
"589","paket   terima terlambat  irimannya taidak athanks lazada"
"590","null"
"591","null"
"592","null"
"593","null"
"594","null"
"595","null"
"596","rescedan iriman cevia go send"
"597","null"
"598","null"
"599","flashdisk   beli  diskon agingnya jga raso far so good"
"600","null"
"601","barang cesamhanks"
"602","null"
"603","brg sesuai   delivery  "
"604","ok deh mantep"
"605","null"
"606","null"
"607","flashdisk sandisk ok banget  bonus  terima kasih"
"608","barangnya bagus  harga semurah "
"609","null"
"610","null"
"611","null"
"612","null"
"613","gan  n warna biru    warna merah"
"614","null"
"615","null"
"616","null"
"617","null"
"618","   samsistemnya kosong root  tamjadi hrs install ulang ingan raan tersegel"
"619","barang yg  kirim  sesuai    taman"
"620","null"
"621","null"
"622","null"
"623","null"
"624",NA
"625","null"
"626","barang  samntuk riman  ku ntt   ceing safe  rabarang sesuai gambar  syang ditawarkan tx lazada  kenkez"
"627","null"
"628","null"
"629","null"
"630","null"
"631","null"
"632","tengkyuu barangnya nyamewaktu packing raan savety banget  recommended seller"
"633","terlambat    kurir samdikantor  malam  jd besoknya    terima trang  terima   terima kasih"
"634","barang sesuai sanan pengiriman cejakarta"
"635","harddisk berjalan   kelengkajuga oke"
"636","  crashed  ga h jatoh"
"637","null"
"638","jumat n besoknya nyam barang bagus tdk  cacatnya  terima kasih lazada"
"639","maaf  semreview    cukuas  layanan ual packing bagus radan aman fisik barang sesuai gambar  ulasan    website   misinformasi aja   hd external wd  gak dasarungnya  overall  rekomendasi sellernya thanks  tingkatkan  yanannya sukses"
"640","manta"
"641","null"
"642","null"
"643","null"
"644","null"
"645",NA
"646","bagus sesuai nan"
"647","flashdisk nya lucu sesuai  gambar knya suka"
"648","cukumuaskan"
"649","null"
"650","sip"
"651","diresya ce   usb nya gak mengecewakan  kayak  digambar"
"652","barang diantar  cedan sesuai  elasan   ual meresengan ce"
"653","wkt baca  keterangannya  bkn ori alias kw tba krn review yg  jg ok tmang ok bgt bs dii dgn  bole yg  beli"
"654","barang nya sesuai  mulus  bungkus rapi"
"655","bagus"
"656","null"
"657","null"
"658","null"
"659","null"
"660","null"
"661","matul bangetz barangnya berfungsi sesuai harasukses trus bwt toko  lazada iriman suceblum  udah lngsung dikirim mantul dah e"
"662","maau ksi ulasanbarang yamengan slamt   aman telum  coba krna  semmoga awet   bagus "
"663","null"
"664","null"
"665","null"
"666","null"
"667","null"
"668","null"
"669","barang sesuai nan iriman tewaktu ng ra banget"
"670","null"
"671","ok"
"672","item arrived in ect condition and still working well until today fast delivery and great customer servicecommunication  thanks"
"673"," cuman my pass   my pass ultra tulis deskriyang bener ya"
"674","awet"
"675","null"
"676","  hardisk kah gan "
"677","null"
"678","product ok sesuai  fotoiriman  cedari estimasiok"
"679","null"
"680","null"
"681","good"
"682","null"
"683","null"
"684","null"
"685","null"
"686","barang sesuai gambar  bagus"
"687"," sesuai gambar"
"688"," kali cicilanmaksudnya  bln yayaratan  kredit aja ya"
"689","kualitas barangny   jamin g ya"
"690","klu   beli tv  lazada  jamin g ya kualitasnya"
"691","gmna"
"692","barang samdengan  ingnya bagus isi kotaknya lengkaa  casing hdd kabel maletomale obeng  baut  wadah  alhamdulillaah     semoga awet terima kasih "
"693","pengiriman cepacking raan aman  barang sesuai deskri  dati sangan samkaian   kendala   normal"
"694","packing rasemoga awet thanks lazada"
"695","ingnya raarangnya bagus  murah tq"
"696","lumayan   harga segini sayang ngebaca hdd gb lemot euy"
"697","cukuas barang trima ksih lazada"
"698","null"
"699","null"
"700","bagus "
"701","null"
"702","null"
"703","null"
"704","null"
"705","null"
"706","null"
"707",NA
"708","null"
"709","lumayan"
"710","null"
"711","barang    harga murah taengiriman   sukses  lazada"
"712","cesamoriginal   test   jd tandem ssd intel  terima kasih"
"713","good"
"714","iriman cebarang bagus"
"715","recomended thx"
"716","null"
"717","sesuai taowerbanknya ringan  sesuai harga sih"
"718",NA
"719","barang diing kuat  racesamsesuai estimasitrimakasih kotakom"
"720","null"
"721","null"
"722","barang  n tanggal juli  tgl barang   kirim  tanggal  barang sammemang  lamataaya maklum   barang nya   negri packing raarang berfungsi  "
"723","good    "
"724","null"
"725","udah ham minggu barang  jg nyamrder tgl  a status nan masi aja dlm esgmana ni lazada"
"726","barangnya udah samthanks lazada"
"727","mohon bantuan nya  barangnya belom samudh  sy tunggu gag kunjung  mohon diatikan  terima kasih"
"728","null"
"729","null"
"730","barang  cemulus semoga    kedeya"
"731","  menyimsedikit file  katas  gb   file    terbaca    coba beberaali"
"732","  menyimdata"
"733","ga kecewa deh barang keren kemasan ramakasih bos"
"734","null"
"735","barang oke"
"736","karna   nyimfilm  data"
"737","null"
"738","bagus uknya"
"739","nan  yg    terima kenaibuat   terima  tolong   dicek "
"740","null"
"741","barangnya bagus"
"742","blom keterima"
"743","null"
"744","produk nya manta"
"745","so far so good"
"746","barang ok kiriman tewaktu"
"747","null"
"748","null"
"749","null"
"750","null"
"751","null"
"752","null"
"753","null"
"754","null"
"755","null"
"756","null"
"757","null"
"758","null"
"759","null"
"760","null"
"761","null"
"762","null"
"763","null"
"764","null"
"765","sesuai"
"766","barang bagus taayang iriman  k jt barangnya kesasar  kota pamekasan    tercantum kota sam  utk jt  hatihati  ya  untung  hilang barangnya  utk seller top fast rese"
"767","barang nyamdgn mulus tdk  cacat"
"768","thanks lazada barang nya sesuai exasi"
"769","barang good iriman cekurir mantamah makasih lazada"
"770","barang berfungsi normalsemoga awet"
"771","barang sesuai deskridan orderan"
"772","falshdisk bagus berfungsi  "
"773","barang sesuai nan mantab"
"774","thx lazada semoga fdnya awet"
"775","iriman cesmoga awet"
"776","iriman cebrgnya mantaedbd"
"777","samdgn selamat  aman"
"778","  terima barangnya"
"779","null"
"780","brg ok samcepat"
"781","null"
"782","null"
"783","null"
"784","null"
"785","null"
"786","null"
"787","null"
"788","null"
"789","null"
"790","null"
"791","null"
"792","null"
"793","null"
"794","null"
"795","null"
"796","null"
"797","null"
"798","null"
"799","null"
"800","null"
"801","null"
"802","null"
"803","null"
"804","null"
"805","good"
"806","null"
"807","null"
"808","null"
"809","mantap"
"810","null"
"811","null"
"812","sip"
"813","null"
"814","null"
"815","null"
"816","pengiriman on time cuman ing sederhana  tanubble wrap"
"817","null"
"818","null"
"819","null"
"820","null"
"821","null"
"822","null"
"823","null"
"824","null"
"825","kurir  n bertanggungjawab barang sesuai sfikasi semoga awet ya"
"826","barang cesam sesuai nan"
"827","barang okkemasan ra"
"828","null"
"829","null"
"830","null"
"831","null"
"832","null"
"833","barang oke"
"834","null"
"835","good"
"836","null"
"837","null"
"838","null"
"839","null"
"840","mantasuai nan nih mah k nya joss"
"841","null"
"842","bagus   sesuai  kebutuhan"
"843",NA
"844","lumayan  harga segitu ing rairiman cesemoga   kendala"
"845","mudah mudahan  beli la mahals kalo  beli asus rog aja wkwk"
"846","pengen beli budget ga "
"847","yah lumayan lahtaaya ketemu ram gb ddr  rx i hq   jutaan"
"848","tunggu gua jual leama gua ama ngutang tetangga sebelah  gua beli"
"849","aroduk aslinya sesuai dgn yg  gambar "
"850","dikantong   rb"
"851",NA
"852",""
