"","klasifikasi","score","text"
"55","Netral",0,"murah banget  enga salah kasih harga tau nati salah kasi info barang nya"
"56","Netral",0,"barang udah samtaas dinyalain g  gmn anggung  lazada"
"57","Netral",0,NA
"58","Netral",0,"null"
"59","Netral",0,"klo d tanartu kredit  gk brn ayarannya  sebulannya brterimaksh"
"60","Positif",2," sangan  tembok ad k  lazada yg memasanga  terima kasih"
"61","Netral",0,"null"
"62","Positif",1,"katas hdd asli  tb  tanda lecet    ama kali membuka bungkus bubble nya"
"63","Positif",1,"barang sesuai  gambar"
"64","Positif",4,"hd diterima dg ing bubble bagus   tertulis barang elektronik atw keterangan   nganan  hati  istimewa  t  alanan finally bintang lhah"
"65","Positif",1,"mantan barang samdengan selamat  packing ra k mantah "
"66","Netral",0,"null"
"67","Netral",0,"null"
"68","Netral",0,"oke"
"69","Positif",2,"    barangnya kualitas barang  membantu hdd  ala jatuh    iriman rak  lecet kasih bintang         "
"70","Positif",1,"barang diterima  kondisi   taackagingnya "
"71","Positif",3,"suka banget  barangnya ing nya raokoknya recomended banget   yg  beli tas hardisk  kulitas bagus yah  "
"72","Netral",0,"null"
"73","Netral",0,"null"
"74","Netral",0,"null"
"75","Positif",1,"flashdisk ori packing bagus  sukathx"
"76","Positif",1,"aman ce"
"77","Netral",0,"null"
"78","Positif",1,"bagus ori    aja  gb klo  gilang  gb"
"79","Negatif",-1,"katasy  bagusss aturany klw kosong g bnyakkk firusss tieh bnyakkk firusss  kecewe"
"80","Positif",1,"baguss bangett kurir nya jga ramah cakela wkwk  gb tn  sekian gb th yah pokok nya recomended deh"
"81","Positif",2,"uk dah samkemasan rairiman cebarang  bagus ayaran cod  u diragukan  "
"82","Positif",4,"barangnya bagus banget sesuai  gambar dn deskri iriman ce bagus dn recomended bangt"
"83","Netral",0,"ing tanubble warisik no minus   gb   ya lumayan"
"84","Netral",0,"barang ok  ing ra kurir nya ramahh  puass "
"85","Netral",0,"uk original mantamoga awet"
"86","Positif",1," sesuai eksasi"
"87","Netral",0,""
"88","Netral",0,"null"
"89","Netral",0,"null"
"90","Netral",0,"null"
"91","Netral",0,"null"
"92","Netral",0,"null"
"93","Netral",0,"null"
"94","Netral",0,"null"
"95","Netral",0,"barang nya oke makasih"
"96","Netral",0,"tumben ninja ceirimannya"
"97","Netral",0,"null"
"98","Positif",2,"barang asli  original terimakasih maju  toko jet store"
"99","Positif",3,"flashdisk nya bagus sesuai ure barang cesamkurir ramah"
"100","Negatif",-1,"oke mudahan awet  ga crash  semd coba"
"101","Netral",0,"katas   gb ajaaaaa  huft"
"102","Netral",0,"  gb  cuman  gb"
"103","Netral",0,"thks ya barang sdh sammga cocok"
"104","Netral",0,"siithank lazada"
"105","Netral",0,"udah  trima barang ok moga awet"
"106","Netral",0,"josss tenan"
"107","Netral",0,"null"
"108","Netral",0,"null"
"109","Netral",0,"null"
"110","Netral",0,"null"
"111","Netral",0,"null"
"112","Positif",2," ori bagus tahan    "
"113","Netral",0,"kam kaga kebaca"
"114","Netral",0,"null"
"115","Netral",0,"null"
"116","Netral",0,"null"
"117","Positif",1,"barang bagus quick reshari  n besok  "
"118","Netral",0,"null"
"119","Netral",0,"null"
"120","Netral",0,"brang cukugus"
"121","Netral",0,"null"
"122","Netral",0,"null"
"123","Netral",0,"null"
"124","Netral",0,"null"
"125","Netral",0,"null"
"126","Netral",0,"sintap"
"127","Netral",0,"null"
"128","Netral",0,"null"
"129","Netral",0,"null"
"130","Netral",0,"null"
"131","Netral",0,"null"
"132","Netral",0,"null"
"133","Netral",0,"null"
"134","Netral",0,"null"
"135","Netral",0,"null"
"136","Netral",0,"null"
"137","Netral",0,"null"
"138","Netral",0,"null"
"139","Positif",1,"bagus ori"
"140","Netral",0,"null"
"141","Netral",0,"null"
"142","Netral",0,"null"
"143","Netral",0,"null"
"144","Netral",0,"null"
"145","Netral",0,"null"
"146","Netral",0,"null"
"147","Netral",0,"null"
"148","Netral",0,"null"
"149","Netral",0,"null"
"150","Netral",0,"real good"
"151","Netral",0,"null"
"152","Netral",0,"null"
"153","Netral",0,"null"
"154","Netral",0,"null"
"155","Netral",0,"null"
"156","Positif",1,"bagus"
"157","Netral",0,"null"
"158","Netral",0,"good"
"159","Netral",0,"null"
"160","Netral",0,"null"
"161","Netral",0,"null"
"162","Netral",0,"null"
"163","Netral",0,"null"
"164","Netral",0,"null"
"165","Netral",0,"null"
"166","Netral",0,"null"
"167","Netral",0,"null"
"168","Netral",0,"iriman   tgl   n tgl  barang  dikemas tgl   diambil ekssi tgl   sam  dijabotabek taama"
"169","Negatif",-2,"barang tanemasan tanelindung an  dus tv  liat dusnya sobek dikit   curiga kayaknya h  eeeeellllaaaa dibuka h beneran bad seller bener bener bad seller  untung aja taneduli  uk  kalo gak  untung n t ngan ya jgn jualan barang  retur  mudah mudahan barangnya cedi kirim lg d"
"170","Positif",2,"barang diterima    yg dijadwalkan  malam  kondisi barang terlindungi  ing bawaan unit  kualitas unit  kualitas sharemoga awet  unit  dikirim  gudang lazada  bogor mestinya   ciba     yg dijadwalkan  alamat tujuan   bogor"
"171","Netral",0,"masukan  klo  ingnya   dikasih buble wranimal   diing i tik  semkhawatir h tntung gk   "
"172","Netral",0,"null"
"173","Positif",1,"nan sesuai dgn yg  gambar skrg sy lg coba smoga awet"
"174","Positif",1,"pengiriman  sesuai tanggal  tertera"
"175","Netral",0,"sesuai no tipu"
"176","Netral",0,"barang ok ing rapih"
"177","Netral",0,"barangnya samdengan cebagus terimakasih lazada"
"178","Netral",0,"iriman ceirng raharga murah free ongkir"
"179","Positif",1,"mantaarang nya sesuai nan"
"180","Negatif",-1," ah beli disinih bangetbarang  samdh  mi ggu alesan nya gak  gangguan dll"
"181","Negatif",-1,"hati hati  tv ga   usb"
"182","Netral",0,"null"
"183","Netral",0,"null"
"184","Netral",0,"null"
"185","Netral",0,"null"
"186","Netral",0,"null"
"187","Netral",0,"null"
"188","Netral",0,"null"
"189","Netral",0,"null"
"190","Netral",0,"null"
"191","Netral",0,"null"
"192","Netral",0,"null"
"193","Netral",0,"null"
"194","Netral",0,"null"
"195","Netral",0,"null"
"196","Netral",0,"null"
"197","Netral",0,"null"
"198","Netral",0,"null"
"199","Netral",0,""
"200","Netral",0,"null"
"201","Netral",0,"null"
"202","Netral",0,"null"
"203","Netral",0,"null"
"204","Netral",0,""
"205","Netral",0,"null"
"206","Netral",0,"null"
"207","Netral",0,"null"
"208","Netral",0,"null"
"209","Netral",0,"null"
"210","Netral",0,"null"
"211","Netral",0,"mantap"
"212","Netral",0,"mantap"
"213","Netral",0,"null"
"214","Netral",0,"null"
"215","Netral",0,"null"
"216","Netral",0,"null"
"217","Netral",0,"null"
"218","Netral",0,"   uknya terimakasih"
"219","Netral",0,"null"
"220","Netral",0,"null"
"221","Netral",0,"null"
"222","Positif",2,"memuaskan uk sesuai deskriing bagus  rimaan uk ceuntuk  yg   jkt"
"223","Netral",0,"kenahargernya  lengka g  langsung dii  charger   nyari  beli  sambungan  chargernya tolong d bantu"
"224","Netral",0," sramnya gb  gb"
"225","Negatif",-4,"gan  sarankan   berhatihati  membeli flashdisk  dikirim    flashdisk rekondisi daur ulang bekas   tertipu  harga mas dosa mas bohong  flashdisknya  tulisan nama aryo  sengaja dihapus tp  bersih file  dikirim  flashdisk  error makan duit haram mas kenyang tp ga berkah"
"226","Positif",2,"barang cesamya kualitas fd  bagus file   coering corrupt"
"227","Negatif",-1,"palsu"
"228","Netral",0,"null"
"229","Netral",0,"very good"
"230","Netral",0,"korurus klo  coe fdmengecewakan"
"231","Netral",0,"null"
"232","Positif",1,"hardisknya keren ndungnya kokoh  udah  aasi transcend elitenya    enkrithanks seller and lazada"
"233","Positif",1,"samya   tauas ing raan dateng warnanya biru seneng banget gan hehe  semoga awet barangnya"
"234","Positif",2,"trims lazada  reseller  barang sdh  terima senin siang giriman sesuai  yg  informasikan"
"235","Positif",1,"sesuai syg   jd oke "
"236","Positif",1,"barangnya bagus  raidak mengecewakan   tetaagus   bonus h nya  hehhe"
"237","Netral",0,"barang udah samunn  segell  iknya mangstabb"
"238","Positif",1,"barang tlah diterima kondisi "
"239","Netral",0,"null"
"240","Netral",0,"mantap"
"241","Netral",0,"null"
"242","Netral",0,"null"
"243","Netral",0,"null"
"244","Netral",0,"null"
"245","Positif",1,"barang sesuai deskrienjual ramahresce"
"246","Positif",2,"packaging ralashdiksnya ori katasnya sesuai  detail uk  dicantumkan  foto  barangnya sesuai  barangnya  sesuai tewaktu makasih ya "
"247","Netral",0,"flashdisknya  diterima   katas total  bytes  fat   bytes  diformat  exfat write s mbs  read  mbs   usb   dicoba   usb "
"248","Positif",3,"terima kasih barang bagus  resual sgt "
"249","Positif",1,"barang  diterima dgn  packing ra tinya  gb selebihnya oke"
"250","Positif",2,"cocok    bgus sesuai deskri"
"251","Netral",0,"null"
"252","Netral",0,"null"
"253","Netral",0,"null"
"254","Netral",0,"null"
"255","Netral",0,"null"
"256","Netral",0,"null"
"257","Netral",0,"null"
"258","Netral",0,"null"
"259","Netral",0,"puas"
"260","Netral",0,"null"
"261","Netral",0,"flashdisk gb casing metal baguss"
"262","Netral",0,"null"
"263","Netral",0,"null"
"264","Positif",1,"sesuai deskripsi"
"265","Netral",0,"barang dah sammakasih"
"266","Netral",0,"mantarang gak minus  "
"267","Netral",0,"iriman ceing cukugus"
"268","Positif",2,"biarkan bintang  berbicara  "
"269","Netral",0,"barangnya ok cesampai"
"270","Netral",0,"pengirimannya ceuk "
"271","Positif",1,"barang  sesuai  deskridan berfungsi "
"272","Positif",1,"samcebarang sesuai"
"273","Positif",1,"dikirim    barang mulus"
"274","Netral",0,"null"
"275","Netral",0,"null"
"276","Netral",0,"null"
"277","Netral",0,"null"
"278","Netral",0,"null"
"279","Netral",0,"null"
"280","Netral",0,"null"
"281","Netral",0,"null"
"282","Netral",0,"null"
"283","Netral",0,"null"
"284","Netral",0,"null"
"285","Netral",0,"oke"
"286","Netral",0,"null"
"287","Netral",0,""
"288","Netral",0,"null"
"289","Netral",0,"null"
"290","Netral",0,"null"
"291","Netral",0,"ram gb  gb"
"292","Positif",3,"tv led  han inyang lengkadmi dv vga  beli  keuan kantor  gunaannya  multisource panasonic satusatunya merk  menyediakan fasilitas  seang etahuan  kualitas gambar  bagus  bezel tiyang  kesan lega  extra bracket memudahkan sangan  dinding bravo panasonic"
"293","Netral",0,"null"
"294","Netral",0," butuh   jam unit  thks"
"295","Netral",0," cicilan gmn "
"296","Negatif",-1,"nyicil   mudah esnya susah nggak"
"297","Netral",0,"pokonya "
"298","Positif",3,"puas bgt iriman sesuai jadwal barang bagus ing rabuat maen game enak bgt hihii murah  tenkyu lazada"
"299","Positif",4," igin n taackingnya kalo   radan aman  barang terlindungi    bintang   kalo barangnya udah diterima  bagis   bintang"
"300","Netral",0,"null"
"301","Positif",4,"   uk  genuine  hologramnya    kartu garansinya  adahanya keterangan   dusnya  barang  original resmi indonesia bergaransi   nomor telservice centernya memory  tersedia    sam tb teta tb  selisih  tb  banget selisihnyatidak   teri  sistemnya sambegitu banyaktaidak    eksternal hardisk   bagus cedan  hadiah hardcase cukugus   melindungi barang    debu  benturan sayangnya   registrasi  official webnya wd  identification numbernya  dikenaltidak validalias barang   aslialias kw seller resif sayangnya  memberitahu asli tidaknya barang  pengiriman terhitung cedalam   barang   tangan mudahan  barang  awet wslautdk original"
"302","Negatif",-1,"barang bagus ng ra gua rekomendasikan banget  klo barangnyacma sayang iriman  kaya amjne diosana  barang gua ga ga muncul   kom dlu cs ny kali  ngerti mending  iriman  deh lbi bgus"
"303","Positif",3,"mantab s konsisten total size asli gb     normal  nice job seller n lazada "
"304","Positif",5,"barang  terimak lazada bilang sidah diterima cek  jne lhoksukon aceh utara barang  adaada  gasnya tdk ramah  tdk  solusk  yg  email  cs jne  cs lazada tdk  rea  nasih barang  harga  jt an"
"305","Netral",0,"smuanya mntap"
"306","Positif",1,"iriman cehr  kirin lusa udh terima ing raake bubble jg kwalitas uct oke tq"
"307","Netral",0,"null"
"308","Netral",0," rekomendasikan beli "
"309","Netral",0,"null"
"310","Netral",0," sami"
"311","Positif",1,"warna sesuai nan sis ok dah"
"312","Netral",0,"thanks rescehdd ext tb samsesuai nan"
"313","Positif",1,"original packing rapi"
"314","Netral",0,"barang good condition and delivery ok"
"315","Netral",0,"null"
"316","Netral",0,"null"
"317","Netral",0,"null"
"318","Netral",0,"null"
"319","Netral",0,"mantap"
"320","Netral",0,"null"
"321","Netral",0,"null"
"322","Netral",0,"null"
"323","Netral",0,"null"
"324","Netral",0,"null"
"325","Netral",0,"null"
"326","Netral",0,"null"
"327","Netral",0,"barang oke"
"328","Netral",0,"null"
"329","Netral",0,"null"
"330","Netral",0,"null"
"331","Netral",0,"null"
"332","Netral",0,"null"
"333","Netral",0,"null"
"334","Netral",0,"null"
"335","Netral",0,"null"
"336","Netral",0,"null"
"337","Netral",0,"null"
"338","Netral",0,"null"
"339","Netral",0,"null"
"340","Netral",0,"null"
"341","Positif",6,"foto uk sesuai  asli warna birunya bagus  n  bayar uk   tanggal  oktober   uk    tanggal  oktober   kondisi   berfungsi  macbook pro  meskisaya  format   mendabonus t  external hdd   mudahmudahan uk  awet terima kasih lazada"
"342","Netral",0,"packing raan iriman tewaktu   berfungsi   haraya semoga awet ni barang"
"343","Positif",1,"barangnya bagus kecilcomdan ing "
"344","Netral",0,"good product with reasonable price"
"345","Netral",0,"null"
"346","Netral",0,"null"
"347","Netral",0,"null"
"348","Netral",0,"null"
"349","Netral",0,"null"
"350","Netral",0,"null"
"351","Netral",0,"null"
"352","Netral",0,"null"
"353","Netral",0,"null"
"354","Netral",0,"null"
"355","Netral",0,"null"
"356","Netral",0,"null"
"357","Netral",0,"null"
"358","Netral",0,"null"
"359","Netral",0,"null"
"360","Netral",0,"null"
"361","Netral",0,"null"
"362","Netral",0,"null"
"363","Netral",0,"null"
"364","Positif",2,"packing raualitas oke fitur is sei deskridesain keren  yg    segi kecen transfer  mentok   mbs"
"365","Negatif",-1,"gmn nih lazada  liat iklannya flashdisk tag dikirim koq  flashdrivemohon elasannyabarang sdh  bukasaya br x  kecewa"
"366","Netral",0,"smua   ulasan bener smua areka  katas terbaca gb  teri sistem iriman  cedari extimasi"
"367","Positif",4,"barang sdh diterima irimannya cedata yg terbaca gb iya  s gb tdk terbaca gb full terima kasih  fast resya n barangnya ori"
"368","Negatif",-1,"pengiriman ce  taranfer failnya lemot"
"369","Negatif",-1,"flashdisknya bagus taatoh  teman  rusak  mengeluarkan nya"
"370","Positif",2,"cesambarang asli bagus  thanks lazada"
"371","Positif",1,"barang cepat    garansi resmi mantabb"
"372","Positif",2,"cesam  udah sambarang bagus gk ces     knya mantab"
"373","Positif",1,"bagus packing ramodelnya  suka thanks lazada"
"374","Positif",1,"barang bagus ahankan"
"375","Positif",1,"barangnya   terima  kondisi    trimakasih lazada"
"376","Netral",0,"produk oke  original by datascriayang katas bersihnya gb"
"377","Positif",1,"iriman cebarang bagus transfer data  cedari tiruzer switch"
"378","Netral",0,"uk mantasuai deskripsi"
"379","Netral",0,"null"
"380","Netral",0,"null"
"381","Netral",0,"null"
"382","Netral",0,"null"
"383","Netral",0,"null"
"384","Netral",0,"null"
"385","Netral",0,"null"
"386","Netral",0,"null"
"387","Netral",0,"null"
"388","Netral",0,"null"
"389","Netral",0,"good"
"390","Netral",0,NA
"391","Netral",0,NA
"392","Netral",0,NA
"393","Positif",2,"uk sesuai iriman cepat"
"394","Positif",1,"produk bagus"
"395","Positif",1,"barang  bagus trimakasih"
"396","Netral",0,"barang yg dikirim  sei   gambar"
"397","Positif",1,"barang yg samruzer yg   sesuai  gambar taizenya gb"
"398","Netral",0,"cukugus"
"399","Netral",0,"null"
"400","Netral",0,"null"
"401","Netral",0,"knrosesnya  aagal  sya  n "
"402","Negatif",-2,"barang  ko gaada ya   ngasih alamatnya bener   cek  situs jnenya alamat tujuannya  salah mohon diksa   beli barang bebarengan    yg  udh samtaeli   gaada barangnya samsekarang"
"403","Negatif",-1,"kecewa alias barang asya lumayan  isi mih  lagunya"
"404","Netral",0,"flashdisk gb tsi cm gbgk bs dii"
"405","Netral",0,"  berfungsi menyimdata"
"406","Negatif",-1,"barang  ah samyg hitamyg h ga  "
"407","Negatif",-1,"pengiriman  warna  dateng h  hitam"
"408","Netral",0,"null"
"409","Netral",0,"null"
"410","Positif",1,"krn pesanan tdk sesuai  kirimannya dr warna   pesan hitam dikirm putih    dipakai  labtop anak    tidah   yah"
"411","Netral",0,NA
"412","Netral",0,"flashdisk  dicoile yg kebaca  doang  ud  beli   tertiantes g garansi hati hati  yg  beli"
"413","Negatif",-1," barang     kota  minggubkemudian  cek barang   muncul anyaan   ungkusnya  tulisannya toshiba katas  gb   flashdisk  tertulis  gb  dicoba  koile    failed   berhasil dikoernyata   dadibuka seinya   uk gagal buatan oem   asalasalan  dijual murah  k toko terlanjur membeli     berusaha menjual   "
"414","Negatif",-1,"rusak gk  dii  kapok"
"415","Negatif",-1,"ga  dii"
"416","Netral",0,"barangnya  "
"417","Netral",0,"null"
"418","Netral",0,"null"
"419","Netral",0,"null"
"420","Negatif",-1,"uk    dihara  kecewa"
"421","Netral",0,"null"
"422","Netral",0,"null"
"423","Netral",0," danya warna biru"
"424","Netral",0,"null"
"425","Positif",2,"barang diterima ceseller n lazada yanan bagus kemasan raasih tik tebal  good tvnya cakesuai gambar n sya dis cuku sesuai semada baut casing ledikencangkan    recomended   nyari "
"426","Netral",0,"null"
"427","Netral",0," tv jg bs  monitor an"
"428","Netral",0," kredit bang"
"429","Netral",0,"  order besok langsung  fast respon fast seller"
"430","Positif",2,"biar bintang  berbicara"
"431","Positif",1,"bagus barangnya"
"432","Positif",2,"mantab reseller nya pengiriman cedan ngan ok thanks reseller  lazada sukses   reseller  lazada"
"433","Netral",0,"null"
"434","Netral",0,"null"
"435","Positif",1,"ing  barangnya ok  bonus h ukurannya    temhardisk nya"
"436","Netral",0,"null"
"437","Netral",0,"null"
"438","Netral",0,"null"
"439","Netral",0,"null"
"440","Negatif",-2,"pengiriman ce kualitas gambar bagus  kualitas suaranya oke dvb t berfungsi   remote  yg error tombol source  fungsi jd   ganti  usb hdmi   mesti et tombol fisik  tvnya   ganti  seller  disuruh contact aquanya  aqua  remote rusak   beli   ganti  tokonya ribet deh "
"441","Netral",0,NA
"442","Netral",0," layar sentuh  yah"
"443","Positif",2," n uang sdah d transfer taarng tdk "
"444","Positif",1,"  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"445","Positif",1,"  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"446","Netral",0,"hi sistgan stocknya  ready informasi produk  silahkan chat add whatsa  resceaman  teraya  pengiriman via  jne  tiki seller resmi lazada terima kasih"
"447","Netral",0," info  nggan setia   karenakan lazada slow resceaman  terayakami buka orderan sanan beli  garatis   via whatsaa"
"448","Positif",1,"  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"449","Netral",0,"  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"450","Netral",0,"  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"451","Netral",0,"  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"452","Netral",0,"  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"453","Netral",0,"klu cicilan gmn cranya yah"
"454","Netral",0,"  sumba timurwainga"
"455","Netral",0," kredit nya "
"456","Netral",0,"  cicil gak"
"457","Positif",1,"la nya bagus"
"458","Netral",0,"null"
"459","Negatif",-1,"   kurangi ya biar  "
"460","Negatif",-1," beranci ya layarnya"
"461","Netral",0," bayar  temaidak"
"462","Netral",0,"bayar ditem"
"463","Negatif",-1," gmn ya"
"464","Netral",0,"rizi"
"465","Netral",0,"null"
"466","Positif",2,"ditulis khusus jabodetabektrsedia diwilyah lam dibeli tcancel krn diluar daerah klo gk   dtulis tdk tersedia diwilanda"
"467","Netral",0,"gmana  klw   kredit  lazada"
"468","Negatif",-1," kiri  kota blitar "
"469","Netral",0,"klwdi kirim k karawang  gak"
"470","Netral",0,"gambarnya  keliatan"
"471","Netral",0,"null"
"472","Netral",0,"null"
"473","Netral",0,"terimakasih barang nya memuaskan semoga awet "
"474","Netral",0,"null"
"475","Netral",0,"null"
"476","Netral",0,"null"
"477","Netral",0,"mantuulll"
"478","Netral",0,"null"
"479","Netral",0,"null"
"480","Netral",0,"makasih gantaroduk nya  mesen  gb dateng nya mlh  gbmungkin slh masukin uk"
"481","Netral",0,"null"
"482","Positif",1,"alhamdulillah wlau irimannya   hmlmtemuanya ok"
"483","Netral",0,"barangnya bagussuara  gambar jernih mudah mudahan awetenya ratang tewaktukurirnya  ramahmakasih lazadd"
"484","Positif",1,"barang cukumuaskan seller resifing aman   kayu yah tengirimannya    tts ok  ing barang  "
"485","Positif",1,"packing radan aman banget barangnya iriman cehari  order besok langsung dateng pokonya seller recommended  segi harga  bersaing    d"
"486","Positif",1,"tv nya   alhamdulillah amin"
"487","Positif",1,"uknya sesuai dgn gambar  bgt"
"488","Netral",0,"null"
"489","Netral",0,"null"
"490","Positif",1,"tva bagus bngt layara jga jernih bngt"
"491","Netral",0,"null"
"492","Netral",0,"null"
"493","Netral",0,"null"
"494","Positif",2," samauknya bagus n berkualitas"
"495","Netral",0,"null"
"496","Netral",0,"null"
"497","Netral",0,"null"
"498","Netral",0,"null"
"499","Netral",0,"good job"
"500","Netral",0,"null"
"501","Netral",0,"null"
"502","Netral",0,"bgs"
"503","Netral",0,"null"
"504","Netral",0,"null"
"505","Netral",0,"siip"
"506","Netral",0,"null"
"507","Netral",0,"null"
"508","Netral",0,"  banget  layanan  lazada pengirimannya ce barangnya  gak lecet   terimakasih lazada"
"509","Netral",0,"min ram nya emang segitu"
"510","Positif",2,"barang asli  sesuai"
"511","Positif",2,"biar bintang  berbicara"
"512","Netral",0,"null"
"513","Positif",3,"wd my pass tb harga ng murah dibanding temlain  cek online  offline barang bagus   cek total katas tb original  diregister  web wd nya  garansi  thn  beberaoftware utility free  wd security  ect hd  tdk  dibuka orang    bonus h lumayan  temhd nya "
"514","Netral",0,"null"
"515","Positif",4,"order mi notebook air gold  inch samsesuai hara barangnya asli agingnya aman bagus sellernya informatif cedikirimnya   ready terinstall  windows  english version terima kasih  seller "
"516","Positif",4,"pengiriman barang   ce   barang  diterima    packing radan  dicek la  sesuai hara terima kasih  layanannya   "
"517","Positif",1,"pengirimannya benarbenar tockingnya raan aman barangnya okewindowsnya udah i win  english version "
"518","Positif",2," keren  iraan  windows   dikonfersi  bahasa inggris mantab"
"519","Netral",0,"null"
"520","Netral",0,"null"
"521","Netral",0,"gan  gak dadi kirm  nad disitu tertulis barang   dadi kirim  lokasi "
"522","Negatif",-1,"mbak mas kabari ya barang  udah ready stok  rencana  order mkasih"
"523","Netral",0,"pelayanannya "
"524","Netral",0,"null"
"525","Netral",0,"null"
"526","Positif",1,"pengiriman cebarang  terima    lengkangsung coba dabonus usb led dll recommended seller"
"527","Positif",1,"barang bagus awet samsekarang"
"528","Negatif",-1,"sangan anti virus  k wd  online dibantu memasang  mantaazadateraya"
"529","Positif",2,"pengiriman cmproduk bagus sesuai gambar trims"
"530","Netral",0,"null"
"531","Netral",0,"null"
"532","Positif",1,"  antivirusnya  kasetnya eh   dikasih nomor serial disuruh download  overall bagus  iriman cecuma   "
"533","Netral",0,"hrg bersaing bagus"
"534","Netral",0,"bagus koq cm gak  antivirusnya aja ribet sih d"
"535","Netral",0,"null"
"536","Netral",0,"null"
"537","Netral",0,"null"
"538","Netral",0,"ntaps"
"539","Positif",2,"barang  diterima  iriman lumayan cetada   yg  ual atikan   etalase tv dijual  bonus free braket taang   tv nya doang braketnya ga   ongkir tercantum r  kirim sesuai yg tercantum ts  cek  resi  tercantum  ekssi cobra ternyara   tetensumen  dirugikan toko   catatan   kecuali menylesaikannya"
"540","Positif",1,"tv nya udh seminggu blm samjuga seinya  meningkatkan iriman nya  diatikan su samsesuai estimasi thanks"
"541","Netral",0,"  nonton dengar music liat  via usb gk"
"542","Netral",0,NA
"543","Positif",2,"sesuai nan  bagus  thanks gan"
"544","Positif",1,"produk dgn nan no   diterima"
"545","Netral",0,"null"
"546","Netral",0,"null"
"547","Positif",1,"ok sesuai sm deksripsi"
"548","Positif",4,"alhamdulillah barang samdengan aman karna ng  bagus semoga barang awet  amanah  lancar rejekinya amiin "
"549","Netral",0,"sesuai  nan semoga awet ya"
"550","Netral",0,"null"
"551","Positif",1,"kualitas ori katas sesuao  dekriya"
"552","Positif",1,"barang bagus  harga ok"
"553","Netral",0,"null"
"554","Positif",1,"barang bagus  berfungsi"
"555","Negatif",-1,"virus shortcut"
"556","Positif",1,"ing ok barang sesuai deskri"
"557","Positif",1,"barangnya   selamat  ce taemasan otg nya nggak memuaskan"
"558","Netral",0,"sii nya thanks lazada"
